SAI,SEGURIDAD INFORMATICA
ACC,ADMINISTRACION DE CENTROS DE COMPUTO
TEI,TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES
PRI,PROYECTO DE INVESTIGACION
MAA,MATEMATICAS APLICADAS A LA ADMINISTRACION
PRA,PROCESO ADMINISTRATIVO
ASP,ADMINISTRACION DE SISTEMAS DE INFORMACION
PLE,PLANEACION ESTRATEGICA
MEII,METODOLOGIA DE LA INVESTIGACION
MACI,MACROECONOMIA
ACH,ADMINISTRACION DEL CAPITAL HUMANO
COA,CONTABILIDAD ADMINISTRATIVA
FUM,FUNDAMENTOS DE MERCADOTECNIA
MAFI,MATEMATICAS FINANCIERAS
CDO,COMPORTAMIENTO Y DESARROLLO ORGANIZACIONAL
NEE,NEGOCIACION EMPRESARIAL
INMI,INVESTIGACION DE MERCADOS
DEL,DERECHO LABORAL
MCP,METODOS CUANTITATIVOS Y PRONOSTICOS
ASS,ADMINISTRACION DE SUELDOS Y SALARIOS
ANF,ANALISIS FINANCIERO
MEE,MERCADOTECNIA ESTRATEGICA
TIA,TECNOLOGIAS DE LA INFORMACION APLICADA A LOS NEGOCIOS
ADPI,ADMINISTRACION DE LA PRODUCCION
COIP,COMERCIO INTERNACIONAL
AUA,AUDITORIA ADMINISTRATIVA
COE,COMERCIO ELECTRONICO
CAL,CALIDAD
COFI,CONTRIBUCIONES FISCALES
DHG,SEMINARIO DE HABILIDADES GERENCIALES
FEP,FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION
PLN,DESARROLLO EMPRENDEDOR
LOA,LOGISTICA ADMINISTRATIVA
DES,DESARROLLO SUSTENTABLE
CON,CONSULTORIA
EAP,FUENTES DE FINANCIAMIENTO
TAE,ESTRATEGIAS DE VENTAS
SEI,INGENIERIA DE MARCA
FAT,FISICA APLICADA A LA TERAPIA FISICA
BCMT,BIOLOGIA  MOLECULAR Y CELULAR
APH,ATENCION PREHOSPITALARIA
ITF,INTRODUCCION A LA TERAPIA FISICA
ACP,ANATOMIA CARDIPULMONAR
FBQ,FUNDAMENTOS DE BIOQUIMICA
MTF,METODOS EN TERAPIA FISICA
MIN,METODOLOGIA DE LA INVESTIGACION
AFT,AGENTES FISICOS TERAPEUTICOS
PRC,PROGRAMACION CONCURRENTE
SIC,SISTEMAS CORPORALES
FHU,FISIOLOGIA HUMANA
KIN,KINESIOLOGIA
TTF,TECNICAS EN TERAPIA FISICA
EEP,EVALUACIĖN ECONĖMICA DE PROYECTOS.
VAS,VALORES DEL SER
ING VII,INGL?S VII
ING IX,INGL?S IX
